,_id,call_id_hash,service,priority,priority_desc,call_quarter,call_year,description_short,city_code,city_name,geoid,census_block_group_center__x,census_block_group_center__y
1793,1794,00F5C29419FFCA87E8DDD9E8C1562C,EMS,E3,EMS Standard Basic Life Support response,Q3,2015.0,ASSAULT,PGH,PITTSBURGH,420032206002.0,-80.0051551585138,40.4572612305367
1977,1978,0080A0E102CE218BE0E16F31B91DF6,EMS,E3,EMS Standard Basic Life Support response,Q2,2018.0,ASSAULT,PLU,PLUM,420035262012.0,-79.7537071650573,40.4861093431728
2122,2123,00AD1733090F281C35AC0BCC2FEBE2,EMS,E3,EMS Standard Basic Life Support response,Q2,2018.0,ASSAULT,MCK,MCKEESPORT,420035524001.0,-79.8359182661731,40.3368166378884
2176,2177,01063C567C0135FAA3866115F3D60A,EMS,E2,EMS Standard Advanced Life Support response,Q2,2017.0,ASSAULT,PGH,PITTSBURGH,420032620002.0,-79.992714736811,40.467762820025
2268,2269,001E13A907F81ADADA0CFA93E52C35,EMS,E3,EMS Standard Basic Life Support response,Q3,2018.0,ASSAULT,PGH,PITTSBURGH,420030305002.0,-79.9813396765969,40.4403925313045
2316,2317,0029B9AC519DA17ED8DE490774D0EC,EMS,E3,EMS Standard Basic Life Support response,Q4,2015.0,ASSAULT,BEL,BELLEVUE,420034311001.0,-80.0496017144382,40.4930174878458
2324,2325,012B37903539353DED2D552C732F35,EMS,E3,EMS Standard Basic Life Support response,Q3,2018.0,ASSAULT,PGH,PITTSBURGH,420030804001.0,-79.9441162271497,40.457438232822
2425,2426,01090CBF3EC07175BAD7641C6F9DA9,EMS,E3,EMS Standard Basic Life Support response,Q2,2019.0,ASSAULT,PGH,PITTSBURGH,420035625003.0,-80.0490125749933,40.4534472923167
2465,2466,0111AACD01FFBD241D12ED40068C8E,EMS,E0,EMS Advanced Life Support life threatening response with Advanced Life Support backup,Q2,2016.0,ASSAULT,DUQ,DUQUESNE,420034867001.0,-79.8540572912423,40.3807462121288
2502,2503,002720973C5D0CFA4A36E9D66FE4BF,EMS,E2,EMS Standard Advanced Life Support response,Q4,2019.0,ASSAULT,PGH,PITTSBURGH,420030402001.0,-79.9694406064413,40.439122827976
2515,2516,011A7C252C474877496FF1BD66E1C6,EMS,E3,EMS Standard Basic Life Support response,Q2,2018.0,ASSAULT,PGH,PITTSBURGH,420030402001.0,-79.9694406064413,40.439122827976
2637,2638,002F182185B5A94578BF9ECC367353,EMS,E2,EMS Standard Advanced Life Support response,Q3,2015.0,ASSAULT,MCK,MCKEESPORT,420035524003.0,-79.8473961555004,40.3326321913428
2737,2738,0037CADE0147AF6F1E07D26E3A8CE1,EMS,E3,EMS Standard Basic Life Support response,Q2,2019.0,ASSAULT,PGH,PITTSBURGH,420039806001.0,-80.0280138804104,40.4519930959565
2755,2756,00FA50142B178950220062A7FFD534,EMS,E3,EMS Standard Basic Life Support response,Q4,2018.0,ASSAULT,BRH,BRADDOCK HILLS,420035170002.0,-79.8592162817826,40.4152986025554
2791,2792,0103E609C1E74631FD457F56F5C032,EMS,E3,EMS Standard Basic Life Support response,Q1,2016.0,ASSAULT,MCK,MCKEESPORT,420035512003.0,-79.8380406090549,40.3474883391411
2854,2855,013D614FFD283266E2F810C80A5CA6,EMS,E2,EMS Standard Advanced Life Support response,Q1,2017.0,ASSAULT,FIN,FINDLAY,420034520003.0,-80.2643892846195,40.4732926848536
2905,2906,014D717D95606730C58BBC1CC3E231,EMS,E3,EMS Standard Basic Life Support response,Q4,2016.0,ASSAULT,PGH,PITTSBURGH,420032902004.0,-79.9865877197741,40.3995407815949
2971,2972,00B788BCFE5B1C8A56C30A53D4A5CD,EMS,E3,EMS Standard Basic Life Support response,Q2,2015.0,ASSAULT,WBG,WILKINSBURG,420035614002.0,-79.8614668631943,40.4545131018022
2993,2994,00499707047E3A65CE13C126E3A4B4,EMS,E3,EMS Standard Basic Life Support response,Q2,2016.0,ASSAULT,SWS,SWISSVALE,420035151002.0,-79.8816961394882,40.4174825516544
3168,3169,004A68558DF9CC36D259972E29BB6B,EMS,E0,EMS Advanced Life Support life threatening response with Advanced Life Support backup,Q2,2015.0,ASSAULT,RAN,RANKIN,420035140001.0,-79.8747789792519,40.410910236417
3193,3194,00F2B379A98DC516CCE35E5EDE14C4,EMS,E3,EMS Standard Basic Life Support response,Q4,2019.0,ASSAULT,PGH,PITTSBURGH,420032509001.0,-80.0047767963606,40.4608250354721
3201,3202,00F5A345471FA28DA4E5FEDB940F7D,EMS,E2,EMS Standard Advanced Life Support response,Q2,2016.0,ASSAULT,WIM,WILMERDING,420035080001.0,-79.8103442532946,40.3970594609367
3206,3207,005C225E60D74862F33762180CBFBE,EMS,E3,EMS Standard Basic Life Support response,Q4,2016.0,ASSAULT,PGH,PITTSBURGH,420039806001.0,-80.0280138804104,40.4519930959565
3238,3239,00FF5DF955482A66174D431601B5C1,EMS,E3,EMS Standard Basic Life Support response,Q3,2015.0,ASSAULT,PGH,PITTSBURGH,420030201003.0,-79.9991080518783,40.441376707381
3290,3291,0066C8C9A68FFCF51C6583AD5BE932,EMS,E3,EMS Standard Basic Life Support response,Q4,2016.0,ASSAULT,MTL,MOUNT LEBANON,420034734013.0,-80.0436667361395,40.3751585579474
3394,3395,01626A1B60D19DEADB155F4B5FBC7F,EMS,E3,EMS Standard Basic Life Support response,Q2,2018.0,ASSAULT,BRE,BRENTWOOD,420034781004.0,-79.9834442316004,40.37576866795
3585,3586,008AE39E5890EE9CE71EB77E07D628,EMS,E0,EMS Advanced Life Support life threatening response with Advanced Life Support backup,Q2,2015.0,ASSAULT,MTO,MOUNT OLIVER,420034810003.0,-79.9884095973828,40.4100417640001
3813,3814,0099D726A8449FD5390ACF350608E5,EMS,E3,EMS Standard Basic Life Support response,Q3,2018.0,ASSAULT,MCK,MCKEESPORT,420035523003.0,-79.8481780586854,40.34207232751
3921,3922,005460C667CBD34094CB886E8E71B5,EMS,E3,EMS Standard Basic Life Support response,Q4,2019.0,ASSAULT,RKS,MCKEES ROCKS,420034644003.0,-80.0604463648564,40.4658455341601
4211,4212,01A40B4C2C8BE9F7D3DA9AC29D009F,EMS,E3,EMS Standard Basic Life Support response,Q4,2017.0,ASSAULT,PGH,PITTSBURGH,420031306002.0,-79.8760693051727,40.4571302032878
4227,4228,019CD806CB094D2F8CA1096865478D,EMS,E3,EMS Standard Basic Life Support response,Q3,2016.0,ASSAULT,CAR,CARNEGIE,420034689001.0,-80.0774485833639,40.406726590589
4277,4278,00BF42C4E0E6A303342C0A059DCFBA,EMS,E3,EMS Standard Basic Life Support response,Q2,2019.0,ASSAULT,PGH,PITTSBURGH,420031115003.0,-79.9256163701344,40.4617017281422
4322,4323,006A71574CC1E8CD58F7615A4784EF,EMS,E0,EMS Advanced Life Support life threatening response with Advanced Life Support backup,Q2,2016.0,ASSAULT,BRG,BRIDGEVILLE,420034571002.0,-80.1123559971561,40.3592450825908
4399,4400,01A1BCECA75483EC2B402A5EE3F24A,EMS,E2,EMS Standard Advanced Life Support response,Q2,2015.0,ASSAULT,SPB,SPRINGDALE BORO,420034172001.0,-79.780293434473,40.5387900920533
4451,4452,00D1C59635A56BEC62B6D5156DB7C4,EMS,E3,EMS Standard Basic Life Support response,Q3,2015.0,ASSAULT,KEN,KENNEDY,420034600012.0,-80.1161951413175,40.4900478775054
4495,4496,0093E0FE8E2F2EDE40106A8150DC0F,EMS,E3,EMS Standard Basic Life Support response,Q4,2019.0,ASSAULT,ROB,ROBINSON,420034591011.0,-80.135450214352,40.4969980642078
4550,4551,00A5B4C97BAD26311DE487DD1D5BCA,EMS,E3,EMS Standard Basic Life Support response,Q1,2018.0,ASSAULT,PGH,PITTSBURGH,420033001003.0,-79.9928228942653,40.4148169720333
4592,4593,01B435ED7278D5DDCACEE75141F3D6,EMS,E3,EMS Standard Basic Life Support response,Q2,2018.0,ASSAULT,NFT,NORTH FAYETTE,420034530042.0,-80.2136181916074,40.4457482859687
4693,4694,01BCF9B587E5C3CAA92767A7862E1A,EMS,E3,EMS Standard Basic Life Support response,Q3,2019.0,ASSAULT,PGH,PITTSBURGH,420031903001.0,-80.0137521186919,40.4347556996233
4889,4890,01D30C92A0AB1DA5249FB396ACFEC4,EMS,E3,EMS Standard Basic Life Support response,Q2,2017.0,ASSAULT,STO,STOWE,420034626004.0,-80.0747528233027,40.4712840861788
4893,4894,01D624A80079FEE27D6F68C3C9F0C8,EMS,E3,EMS Standard Basic Life Support response,Q3,2019.0,ASSAULT,PGH,PITTSBURGH,420030402001.0,-79.9694406064413,40.439122827976
4894,4895,01D62FE167C0F3422BF451D4DBE8EF,EMS,E3,EMS Standard Basic Life Support response,Q3,2017.0,ASSAULT,PGH,PITTSBURGH,420032904002.0,-79.9814742055697,40.3877483111003
4978,4979,014E3BDC6457F834AF41A354B14B0A,EMS,E3,EMS Standard Basic Life Support response,Q1,2020.0,ASSAULT,PGH,PITTSBURGH,420035623006.0,-79.9425975163817,40.4097657025565
5001,5002,00BEC3C7D997BC9D81C0DD9B497005,EMS,E3,EMS Standard Basic Life Support response,Q1,2018.0,ASSAULT,EDR,EAST DEER,420034040001.0,-79.7800529025711,40.5881284175371
5083,5084,01591BEEE0DA61AE116029DBB0F357,EMS,E3,EMS Standard Basic Life Support response,Q4,2018.0,ASSAULT,CLA,CLAIRTON,420034928001.0,-79.8858596831381,40.2947158209421
5087,5088,015AC34CAD39C494653A5650667AC8,EMS,E3,EMS Standard Basic Life Support response,Q4,2018.0,ASSAULT,TCV,TURTLE CREEK,420035094004.0,-79.8200758300807,40.4046332681512
5118,5119,01D97A1B3A4210CB0C99D161B23AF6,EMS,E3,EMS Standard Basic Life Support response,Q1,2018.0,ASSAULT,BRE,BRENTWOOD,420034781003.0,-79.9819729240561,40.3679475110157
5211,5212,00A00C661A1A27DEA8C8B7DA82D4FD,EMS,E3,EMS Standard Basic Life Support response,Q2,2018.0,ASSAULT,PGH,PITTSBURGH,420030402001.0,-79.9694406064413,40.439122827976
5237,5238,02004F332BD84256BC2440E984C21F,EMS,E3,EMS Standard Basic Life Support response,Q2,2015.0,ASSAULT,PGH,PITTSBURGH,420035624005.0,-79.9991650591415,40.4197439998351
5257,5258,0165A0BB72CE3CC491A9D1EFDE05CB,EMS,E0,EMS Advanced Life Support life threatening response with Advanced Life Support backup,Q4,2019.0,ASSAULT,PEN,PENN HILLS,420035237023.0,-79.8012961107576,40.4842517401387
5266,5267,00D1688353C4EA412100AFEFF9B457,EMS,E3,EMS Standard Basic Life Support response,Q4,2015.0,ASSAULT,MCK,MCKEESPORT,420035512002.0,-79.8307316637578,40.3532318039068
5470,5471,0174F33CA9C90C2BB40C29A855E639,EMS,E3,EMS Standard Basic Life Support response,Q2,2019.0,ASSAULT,PGH,PITTSBURGH,420035626002.0,-80.0409732330985,40.440027997523
5550,5551,022329819B8D60A29519839153B5FC,EMS,E3,EMS Standard Basic Life Support response,Q3,2017.0,ASSAULT,NBR,NORTH BRADDOCK,420035120001.0,-79.8442032719987,40.4009205488119
5603,5604,0215F25314F3371B3B3A6653047E13,EMS,E3,EMS Standard Basic Life Support response,Q4,2015.0,ASSAULT,PGH,PITTSBURGH,420032708002.0,-80.0308346281517,40.481175847841
5637,5638,00F12B64FB2A6B528BF30231E6E9BF,EMS,E2,EMS Standard Advanced Life Support response,Q2,2016.0,ASSAULT,WIL,WILKINS,420035200022.0,-79.8362683869911,40.4154366362059
5703,5704,0230699737C9C0B845F98C042B7C38,EMS,E3,EMS Standard Basic Life Support response,Q1,2019.0,ASSAULT,PGH,PITTSBURGH,420030305001.0,-79.9856274594971,40.4444413075378
5765,5766,010EAC6BA3F9F29411089B53F793BB,EMS,E3,EMS Standard Basic Life Support response,Q3,2016.0,ASSAULT,PGH,PITTSBURGH,420033001006.0,-79.9939401230778,40.408858318253
5786,5787,00D24F1CAB1FFC67FD1FEF499EE429,EMS,E3,EMS Standard Basic Life Support response,Q2,2019.0,ASSAULT,PGH,PITTSBURGH,420032902004.0,-79.9865877197741,40.3995407815949
5817,5818,01F2A1673F885DD34BB3514A03597C,EMS,E3,EMS Standard Basic Life Support response,Q4,2017.0,ASSAULT,PGH,PITTSBURGH,420035624003.0,-80.0015470366834,40.4166466397748
5845,5846,018D25708800E34C7848394FB02D06,EMS,E3,EMS Standard Basic Life Support response,Q3,2017.0,ASSAULT,PGH,PITTSBURGH,420030201002.0,-80.0042531259759,40.4434807489034
5925,5926,01A68FFFF66C816CED4DC949FAF9E6,EMS,E3,EMS Standard Basic Life Support response,Q1,2015.0,ASSAULT,MUN,MUNHALL,420034843001.0,-79.8968108056924,40.406531933869
5972,5973,00D9C8F9256C59564A5682F9E2F89B,EMS,E3,EMS Standard Basic Life Support response,Q4,2018.0,ASSAULT,RKS,MCKEES ROCKS,420034644003.0,-80.0604463648564,40.4658455341601
6032,6033,00FB5A04A7CAD2E386F6493B17ADA6,EMS,E2,EMS Standard Advanced Life Support response,Q2,2015.0,ASSAULT,WES,WEST MIFFLIN,420034886002.0,-79.9090460620448,40.3441717649245
6073,6074,02283476B377ADBD3DEDC6958A296E,EMS,E3,EMS Standard Basic Life Support response,Q4,2018.0,ASSAULT,PGH,PITTSBURGH,420032901002.0,-79.9925089091687,40.3969243447976
6101,6102,00E0C4151530A1381E206A022BD657,EMS,E3,EMS Standard Basic Life Support response,Q4,2017.0,ASSAULT,MCK,MCKEESPORT,420035519002.0,-79.8582143722509,40.3536263826352
6177,6178,02426C148486053BAC535A418BB68E,EMS,E3,EMS Standard Basic Life Support response,Q1,2016.0,ASSAULT,MTO,MOUNT OLIVER,420034810002.0,-79.9841307714897,40.4120581018147
6350,6351,0269B078185462478FB3C43AB7F75E,EMS,E3,EMS Standard Basic Life Support response,Q1,2019.0,ASSAULT,PGH,PITTSBURGH,420030103004.0,-79.977289961057,40.4373547991558
6420,6421,00EE0FCD33893E4A277EFB88163367,EMS,E3,EMS Standard Basic Life Support response,Q3,2015.0,ASSAULT,PGH,PITTSBURGH,420030703002.0,-79.9325840976186,40.4502379567306
6462,6463,021F01DB3D7DBC703F59EB132C7333,EMS,E3,EMS Standard Basic Life Support response,Q1,2020.0,ASSAULT,PGH,PITTSBURGH,420030201005.0,-79.9966060929745,40.4379740715745
6509,6510,025B3EFEA0C94B77B6E069BB56B711,EMS,E3,EMS Standard Basic Life Support response,Q3,2016.0,ASSAULT,PGH,PITTSBURGH,420032509001.0,-80.0047767963606,40.4608250354721
6511,6512,025BA2AD5B1E81E7E98200198F450B,EMS,E3,EMS Standard Basic Life Support response,Q2,2018.0,ASSAULT,CHE,CHESWICK,420034180001.0,-79.8012465609846,40.5427815644524
6559,6560,014E830E445298A3F84B5F98EBAEF0,EMS,E3,EMS Standard Basic Life Support response,Q3,2018.0,ASSAULT,ROS,ROSS,420034295002.0,-80.0178890448407,40.5396010915683
6613,6614,00FED9E033C90177F8E3C21342E537,EMS,E3,EMS Standard Basic Life Support response,Q2,2019.0,ASSAULT,PGH,PITTSBURGH,420032609001.0,-80.0025995579402,40.4776416082678
6653,6654,0260D884CBA3BABFCE0F7B7200C6F2,EMS,E3,EMS Standard Basic Life Support response,Q4,2015.0,ASSAULT,RAN,RANKIN,420035140001.0,-79.8747789792519,40.410910236417
6815,6816,022EE66712D372BD25C08C4556588C,EMS,E0,EMS Advanced Life Support life threatening response with Advanced Life Support backup,Q2,2016.0,ASSAULT,WDR,WEST DEER,420034070021.0,-79.8336658992936,40.6072824482199
6889,6890,0243063DA753F8944619BAB489CC69,EMS,E3,EMS Standard Basic Life Support response,Q2,2015.0,ASSAULT,PGH,PITTSBURGH,420031918001.0,-80.0203941320592,40.3922983106136
6891,6892,02451DFE4202FA7D2DB20E2F4E39AF,EMS,E3,EMS Standard Basic Life Support response,Q1,2017.0,ASSAULT,MCK,MCKEESPORT,420035519002.0,-79.8582143722509,40.3536263826352
6906,6907,028034E7F3A89C788056B56FFDBA28,EMS,E3,EMS Standard Basic Life Support response,Q3,2015.0,ASSAULT,PGH,PITTSBURGH,420032901001.0,-79.9944800794115,40.401749585794
6985,6986,00FFCB7A8F25D59CD499162C1F5D3C,EMS,E3,EMS Standard Basic Life Support response,Q4,2016.0,ASSAULT,PGH,PITTSBURGH,420035629001.0,-79.9486950598139,40.4113123625511
7029,7030,02506FA01DCF1A5B18D8EE316E09E8,EMS,E3,EMS Standard Basic Life Support response,Q3,2016.0,ASSAULT,BEL,BELLEVUE,420034311002.0,-80.051353223214,40.488218953678
7103,7104,0289B59EB11046A21545C9739A18A0,EMS,E3,EMS Standard Basic Life Support response,Q3,2018.0,ASSAULT,PGH,PITTSBURGH,420033001004.0,-79.9929440504832,40.4128653477281
7128,7129,01F223E2A5CC2E442EC2DE57C08FEC,EMS,E0,EMS Advanced Life Support life threatening response with Advanced Life Support backup,Q4,2019.0,ASSAULT,MCK,MCKEESPORT,420035519002.0,-79.8582143722509,40.3536263826352
7131,7132,01F4A941E0B6346655A1A08A3D6617,EMS,E3,EMS Standard Basic Life Support response,Q2,2016.0,ASSAULT,PGH,PITTSBURGH,420035617001.0,-79.972219604065,40.4088105317722
7219,7220,0292E5093F8FCAC35B17BCE3FB791F,EMS,E3,EMS Standard Basic Life Support response,Q2,2016.0,ASSAULT,PGH,PITTSBURGH,420033204003.0,-79.995229518391,40.3912080273824
7370,7371,02A62FACD2F47EF8618AF0EBFEC33F,EMS,E3,EMS Standard Basic Life Support response,Q2,2019.0,ASSAULT,BRG,BRIDGEVILLE,420034572001.0,-80.1029906397975,40.3612658910769
7416,7417,026AE31AB1C3C4F31A332E285D2155,EMS,E3,EMS Standard Basic Life Support response,Q1,2020.0,ASSAULT,CLA,CLAIRTON,420034929001.0,-79.892840805337,40.2878766640669
7647,7648,028F07888F184A886547987E2F89E3,EMS,E3,EMS Standard Basic Life Support response,Q3,2019.0,ASSAULT,BRD,BRADDOCK,420035138002.0,-79.8670465347229,40.4026364869866
7717,7718,02D74191F7239F77ECA3A56BBC1527,EMS,E3,EMS Standard Basic Life Support response,Q3,2015.0,ASSAULT,PGH,PITTSBURGH,420031303002.0,-79.8948088675628,40.4526340492953
7806,7807,02A2BC572158D30D2ACDBDE445F420,EMS,E3,EMS Standard Basic Life Support response,Q1,2019.0,ASSAULT,OHI,OHIO,420034370001.0,-80.0827514106001,40.5360151219859
7850,7851,022A4B303FC660BBAA40ACC5A9C3BA,EMS,E3,EMS Standard Basic Life Support response,Q1,2017.0,ASSAULT,MTL,MOUNT LEBANON,420034736012.0,-80.0615576539047,40.3837215813957
7855,7856,02B09FB8EABDEBCEED58F833E786C0,EMS,E3,EMS Standard Basic Life Support response,Q3,2017.0,ASSAULT,WIL,WILKINS,420035200012.0,-79.814628390415,40.4369815775785
7988,7989,02EC307FAC8F6EE1ECAAB2FED8F86B,EMS,E3,EMS Standard Basic Life Support response,Q4,2017.0,ASSAULT,MCK,MCKEESPORT,420035521001.0,-79.8625231772525,40.3463790357427
8014,8015,015FF6A574361312CF270F1C2EF973,EMS,E0,EMS Advanced Life Support life threatening response with Advanced Life Support backup,Q4,2015.0,ASSAULT,CLA,CLAIRTON,420034928002.0,-79.8803672974868,40.2897072523836
8059,8060,016774D63F4F51D31F48E0D106DB79,EMS,E3,EMS Standard Basic Life Support response,Q1,2018.0,ASSAULT,BWT,BALDWIN TOWNSHIP,420034790002.0,-80.0176352903195,40.3780699989734
8062,8063,016798D975614DBD1A5FB1345D9632,EMS,E3,EMS Standard Basic Life Support response,Q2,2019.0,ASSAULT,PGH,PITTSBURGH,420032901002.0,-79.9925089091687,40.3969243447976
8074,8075,02F458E0286533B1C1EA29631105F6,EMS,E3,EMS Standard Basic Life Support response,Q3,2017.0,ASSAULT,PGH,PITTSBURGH,420032602003.0,-80.0188673581545,40.4933725778329
8160,8161,016F84911D7D5F3E341C4CB6537634,EMS,E3,EMS Standard Basic Life Support response,Q2,2019.0,ASSAULT,MCK,MCKEESPORT,420035520001.0,-79.8436182423371,40.343790666521
8290,8291,0243208D793B7339E8C12614EF009C,EMS,E3,EMS Standard Basic Life Support response,Q1,2018.0,ASSAULT,PEN,PENN HILLS,420035232001.0,-79.8546393115925,40.4671320421789
8419,8420,02CA20BE25867AADB9D1EB19D3A602,EMS,E3,EMS Standard Basic Life Support response,Q2,2016.0,ASSAULT,PGH,PITTSBURGH,420031302001.0,-79.8910898515412,40.4578021091724
8461,8462,017A2AC147D655E0C7DD97FC263850,EMS,E3,EMS Standard Basic Life Support response,Q3,2016.0,ASSAULT,PGH,PITTSBURGH,420035632003.0,-79.9976587242799,40.4572650013126
8484,8485,02D5A12ABC0BB872691A77A3BC7912,EMS,E2,EMS Standard Advanced Life Support response,Q4,2018.0,ASSAULT,WES,WEST MIFFLIN,420034881001.0,-79.8898496468815,40.3876524708107
8509,8510,02F385FB5826769FFBB7F97C4554B9,EMS,E3,EMS Standard Basic Life Support response,Q3,2017.0,ASSAULT,DUQ,DUQUESNE,420034868001.0,-79.8421821158047,40.3678751203348
8648,8649,0126C5BCE574413208EA8051766088,EMS,E2,EMS Standard Advanced Life Support response,Q3,2015.0,ASSAULT,PGH,PITTSBURGH,420030201003.0,-79.9991080518783,40.441376707381
8665,8666,032AFAFF05E0F162D0D5C2B45C1772,EMS,E3,EMS Standard Basic Life Support response,Q3,2019.0,ASSAULT,WES,WEST MIFFLIN,420034886002.0,-79.9090460620448,40.3441717649245
8765,8766,020052B066AE7D29A72E51191B0622,EMS,E3,EMS Standard Basic Life Support response,Q4,2019.0,ASSAULT,PGH,PITTSBURGH,420032602003.0,-80.0188673581545,40.4933725778329
8847,8848,01425DD61AB7152D1661C235EC46AB,EMS,E3,EMS Standard Basic Life Support response,Q1,2018.0,ASSAULT,CLA,CLAIRTON,420034927003.0,-79.8962902794434,40.3112927404823
8864,8865,018F6052AB2DCEBC972328FC496A5A,EMS,E3,EMS Standard Basic Life Support response,Q3,2017.0,ASSAULT,HOM,HOMESTEAD,420034838002.0,-79.9106568532789,40.4095567426057
8883,8884,02775E04BD7B9DD746704E179C0DFD,EMS,E3,EMS Standard Basic Life Support response,Q4,2017.0,ASSAULT,NBR,NORTH BRADDOCK,420035128001.0,-79.8554733758734,40.3992169472337
8895,8896,033E38696CF4B8163B40EFAE24354D,EMS,E3,EMS Standard Basic Life Support response,Q4,2016.0,ASSAULT,PGH,PITTSBURGH,420030305001.0,-79.9856274594971,40.4444413075378
8963,8964,020DAD2642DC6C2FAA9AAD5A4A18A7,EMS,E3,EMS Standard Basic Life Support response,Q3,2017.0,ASSAULT,PGH,PITTSBURGH,420030511001.0,-79.9764006574579,40.4415991976999
8979,8980,027D4DD69417DB4DDADB7242E0F650,EMS,E2,EMS Standard Advanced Life Support response,Q4,2018.0,ASSAULT,TAR,TARENTUM,420034035003.0,-79.7532888164663,40.6040761100135
9357,9358,032281311BC1C127542C78C6855894,EMS,E3,EMS Standard Basic Life Support response,Q3,2015.0,ASSAULT,PGH,PITTSBURGH,420035632001.0,-79.9981209841959,40.4495619024506
